"SE_001","React","TypeScript","89","125000","0.71","63","0.07"
"SE_002","FastAPI","Python","45","89000","0.51","71.84","0.03"
"SE_003","Spring_Boot","Java","156","234000","0.67","53.65","0.06"
"SE_004","Flutter","Dart","34","67000","0.51","63.9","0.07"
"SE_005","Apache_Airflow","Python","78","156000","0.50","72.66","0.06"
"SE_006","Unity","C#","234","345000","0.68","47.06","0.08"
"SE_007","PyTorch","Python","67","198000","0.34","74.87","0.04"
"SE_008","Laravel","PHP","89","123000","0.72","59.36","0.10"
"SE_009","Hardhat","Solidity","23","45000","0.51","38.16","0.06"
"SE_010","Nuxt.js","Vue.js","56","89000","0.63","67.56","0.06"
"SE_011","Rails","Ruby","123","178000","0.69","56.03","0.08"
"SE_012",".NET_Core","C#","98","156000","0.63","63.29","0.07"
"SE_013","Qt","C++","67","98000","0.68","51.12","0.09"
"SE_014","Android","Kotlin","89","134000","0.66","62.53","0.07"
"SE_015","Gin","Go","178","289000","0.62","52.67","0.08"
"SE_016","D3.js","JavaScript","34","56000","0.61","71.42","0.06"
"SE_017","Spring","Java","289","456000","0.63","46.75","0.09"
"SE_018","Symfony","PHP","98","167000","0.59","57.47","0.09"
"SE_019","Django","Python","67","123000","0.54","67.61","0.07"
"SE_020","WPF","C#","156","234000","0.67","53.65","0.09"
"SE_021","Flask","Python","45","89000","0.51","69.81","0.06"
"SE_022","Express","Node.js","189","298000","0.63","49.09","0.09"
"SE_023","Metasploit","Python","23","67000","0.34","80.32","0.04"
"SE_024","ROS","C++","234","345000","0.68","39.96","0.16"
"SE_025","Shiny","R","56","123000","0.46","72.96","0.05"
"SE_026","Quarkus","Java","89","189000","0.47","60.05","0.08"
"SE_027","Actix","Rust","34","78000","0.44","67.41","0.06"
"SE_028",".NET_Framework","VB.NET","167","267000","0.63","46.87","0.11"
"SE_029","GeoDjango","Python","78","156000","0.50","64.23","0.07"
"SE_030","Qiskit","C++","45","89000","0.51","56.03","0.08"
"SE_031","Echo","Go","89","134000","0.66","61.98","0.07"
"SE_032","FastAPI","Python","56","98000","0.57","68.61","0.06"
"SE_033","Embedded","C","189","234000","0.81","42.66","0.16"
"SE_034","Spark","Scala","98","167000","0.59","60.85","0.08"
"SE_035","Simulink","MATLAB","123","189000","0.65","52.4","0.13"
"SE_036","Node.js","JavaScript","45","78000","0.58","65.92","0.07"
"SE_037","Astropy","Python","67","123000","0.54","67.26","0.07"
"SE_038","Rails","Ruby","89","145000","0.61","57.82","0.08"
"SE_039","Django","Python","56","89000","0.63","62.93","0.07"
"SE_040","Spring_Boot","Java","145","234000","0.62","56.44","0.08"
